Date,Customer_ID,Customer_Type,SKU_ID,Category,Price,Forecast_Qty,Actual_Qty
2020-01-01,REG-058,Regular,REF-008,Refrigerator,11100,27,25
2020-01-01,REG-116,Regular,AC-002,AirConditioner,3200,13,11
2020-01-01,REG-149,Regular,AC-006,AirConditioner,5600,3,4
2020-01-01,REG-163,Regular,REF-009,Refrigerator,12300,37,45
2020-01-01,REG-294,Regular,REF-010,Refrigerator,13500,6,7
2020-01-01,REG-160,Regular,REF-007,Refrigerator,9900,13,13
2020-01-01,REG-186,Regular,REF-006,Refrigerator,8700,28,25
2020-01-01,REG-082,Regular,REF-006,Refrigerator,8700,9,9
2020-01-01,REG-142,Regular,REF-009,Refrigerator,12300,4,5
2020-01-01,REG-102,Regular,REF-010,Refrigerator,13500,36,35
2020-01-01,REG-167,Regular,AC-003,AirConditioner,3800,11,12
2020-01-01,REG-213,Regular,AC-003,AirConditioner,3800,13,12
2020-01-01,REG-075,Regular,AC-007,AirConditioner,6200,7,8
2020-01-01,REG-093,Regular,REF-008,Refrigerator,11100,37,36
2020-01-01,REG-144,Regular,REF-004,Refrigerator,6300,14,14
2020-01-01,REG-254,Regular,AC-009,AirConditioner,7400,7,7
2020-01-01,REG-121,Regular,AC-005,AirConditioner,5000,8,9
2020-01-01,REG-104,Regular,AC-007,AirConditioner,6200,3,3
2020-01-01,REG-258,Regular,AC-003,AirConditioner,3800,2,3
2020-01-01,REG-129,Regular,REF-007,Refrigerator,9900,24,26
2020-01-01,REG-295,Regular,AC-009,AirConditioner,7400,10,12
2020-01-01,REG-222,Regular,AC-002,AirConditioner,3200,2,3
2020-01-01,REG-219,Regular,REF-004,Refrigerator,6300,31,36
2020-01-01,REG-045,Regular,REF-010,Refrigerator,13500,30,29
2020-01-01,REG-237,Regular,REF-007,Refrigerator,9900,8,10
2020-01-01,REG-251,Regular,AC-009,AirConditioner,7400,4,4
2020-01-01,REG-124,Regular,REF-001,Refrigerator,2700,17,18
2020-01-01,REG-125,Regular,REF-003,Refrigerator,5100,26,27
2020-01-01,REG-229,Regular,REF-010,Refrigerator,13500,18,18
2020-01-02,REG-042,Regular,REF-002,Refrigerator,3900,41,37
2020-01-02,REG-100,Regular,REF-008,Refrigerator,11100,35,34
2020-01-02,REG-073,Regular,REF-003,Refrigerator,5100,25,25
2020-01-02,REG-277,Regular,AC-006,AirConditioner,5600,12,11
2020-01-02,REG-064,Regular,AC-004,AirConditioner,4400,6,7
2020-01-02,REG-032,Regular,AC-004,AirConditioner,4400,10,12
2020-01-02,REG-292,Regular,AC-003,AirConditioner,3800,7,7
2020-01-02,REG-202,Regular,AC-009,AirConditioner,7400,1,2
2020-01-02,REG-249,Regular,REF-002,Refrigerator,3900,43,40
2020-01-02,REG-178,Regular,REF-001,Refrigerator,2700,37,32
2020-01-02,REG-212,Regular,AC-007,AirConditioner,6200,12,13
2020-01-02,REG-153,Regular,AC-001,AirConditioner,2600,10,12
2020-01-02,REG-053,Regular,AC-003,AirConditioner,3800,7,6
2020-01-02,REG-191,Regular,AC-009,AirConditioner,7400,5,7
2020-01-02,REG-250,Regular,REF-004,Refrigerator,6300,30,31
2020-01-02,REG-084,Regular,AC-010,AirConditioner,8000,10,9
2020-01-02,REG-168,Regular,REF-010,Refrigerator,13500,4,4
2020-01-02,REG-147,Regular,REF-001,Refrigerator,2700,15,18
2020-01-02,REG-103,Regular,REF-003,Refrigerator,5100,10,9
2020-01-02,REG-169,Regular,REF-004,Refrigerator,6300,34,31
2020-01-02,REG-172,Regular,REF-003,Refrigerator,5100,38,45
2020-01-02,REG-252,Regular,REF-001,Refrigerator,2700,9,11
2020-01-02,REG-255,Regular,AC-004,AirConditioner,4400,8,9
2020-01-02,REG-257,Regular,AC-005,AirConditioner,5000,6,7
2020-01-02,REG-195,Regular,AC-006,AirConditioner,5600,10,9
2020-01-02,REG-108,Regular,AC-009,AirConditioner,7400,7,9
2020-01-02,REG-123,Regular,AC-004,AirConditioner,4400,9,12
2020-01-02,REG-114,Regular,REF-009,Refrigerator,12300,7,8
2020-01-02,REG-037,Regular,REF-005,Refrigerator,7500,34,33
2020-01-03,REG-228,Regular,AC-007,AirConditioner,6200,8,8
2020-01-03,REG-162,Regular,AC-004,AirConditioner,4400,1,1
2020-01-03,REG-098,Regular,REF-006,Refrigerator,8700,16,15
2020-01-03,REG-054,Regular,REF-001,Refrigerator,2700,19,18
2020-01-03,REG-244,Regular,AC-007,AirConditioner,6200,5,5
2020-01-03,REG-101,Regular,AC-010,AirConditioner,8000,12,14
2020-01-03,REG-291,Regular,REF-005,Refrigerator,7500,24,21
2020-01-03,REG-300,Regular,REF-003,Refrigerator,5100,33,39
2020-01-03,REG-231,Regular,REF-009,Refrigerator,12300,6,6
2020-01-03,REG-203,Regular,REF-004,Refrigerator,6300,38,35
2020-01-03,REG-200,Regular,REF-004,Refrigerator,6300,27,25
2020-01-03,REG-234,Regular,AC-001,AirConditioner,2600,7,6
2020-01-03,REG-146,Regular,AC-010,AirConditioner,8000,9,11
2020-01-03,REG-262,Regular,AC-001,AirConditioner,2600,12,15
